sale_id,sale_date,sale_time,store_id,store_name,region,country,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,channel,payment_method,customer_id
23e021f0-9815-4788-9638-786498f2eef6,2024-01-01,11:08:47,ST001,Paris Centre,Europe,FR,SKU001,Running Shoes,Footwear,3,129.99,0,389.97,in_store,credit_card,CUST001210
5e8551b4-45a6-4406-a2db-dec9abef883a,2024-01-01,11:14:32,ST004,Berlin Mitte,Europe,DE,SKU001,Running Shoes,Footwear,1,129.99,0,129.99,mobile_app,credit_card,CUST001150
774f5fb4-3df4-4fc8-b699-492cbf7db58c,2024-01-01,15:37:17,ST002,Casablanca Mall,Africa,MA,SKU009,Swim Goggles,Accessories,4,19.99,0,79.96,in_store,debit_card,CUST001430
28c713c7-6d01-4cbf-b6aa-071abb6cf4ce,2024-01-01,11:48:21,ST004,Berlin Mitte,Europe,DE,SKU006,Gym Bag,Accessories,3,59.99,0,179.97,in_store,credit_card,CUST000779
f82bb33b-ba62-49f5-bf6f-bb03e61922c8,2024-01-01,12:51:02,ST001,Paris Centre,Europe,FR,SKU006,Gym Bag,Accessories,3,50.99,0.15,152.97,mobile_app,mobile_pay,CUST001099
7cc201f0-ee3a-4056-8c57-efccff88a912,2024-01-01,12:53:40,ST001,Paris Centre,Europe,FR,SKU007,Tennis Racket,Equipment,1,169.99,0.15,169.99,mobile_app,cash,CUST001183
66061fbc-e7c0-49ae-9cf2-99c06f4835ec,2024-01-01,11:49:18,ST002,Casablanca Mall,Africa,MA,SKU002,Sport Jacket,Apparel,1,71.99,0.2,71.99,in_store,debit_card,CUST001775
8b0d6f1f-4c34-4efc-83cc-c7bb32b70c49,2024-01-01,18:53:23,ST001,Paris Centre,Europe,FR,SKU007,Tennis Racket,Equipment,3,179.99,0.1,539.97,in_store,cash,CUST000728
4876aa7f-4ca7-4d72-8d82-9fd5214a20bb,2024-01-01,18:10:34,ST002,Casablanca Mall,Africa,MA,SKU005,Training Shorts,Apparel,1,42.49,0.15,42.49,mobile_app,debit_card,CUST000335
679503c8-3a1f-40c4-a6fc-1105ca2c1311,2024-01-01,19:35:14,ST004,Berlin Mitte,Europe,DE,SKU007,Tennis Racket,Equipment,3,159.99,0.2,479.97,mobile_app,cash,CUST001727
c86a877e-1b3d-4853-95e3-63206562db7a,2024-01-01,13:25:17,ST001,Paris Centre,Europe,FR,SKU004,Water Bottle,Accessories,1,18.74,0.25,18.74,in_store,debit_card,CUST001871
8775a06d-caba-4c60-995c-506e8f5aadfb,2024-01-01,15:25:56,ST005,New York SoHo,Americas,US,SKU006,Gym Bag,Accessories,2,47.99,0.2,95.98,mobile_app,mobile_pay,CUST000293
be0f28ac-8146-4a2b-950f-2d885fb216f4,2024-01-01,16:34:16,ST003,London Oxford,Europe,UK,SKU003,Yoga Mat,Accessories,2,31.99,0.2,63.98,mobile_app,mobile_pay,CUST001839
121f9ffe-b18e-40cb-a75d-da93c46a8415,2024-01-01,10:32:31,ST005,New York SoHo,Americas,US,SKU007,Tennis Racket,Equipment,3,199.99,0,599.97,in_store,credit_card,CUST001764
f5ca6d7b-3171-4e5e-92c0-b049a096eebb,2024-01-01,18:27:38,ST001,Paris Centre,Europe,FR,SKU003,Yoga Mat,Accessories,2,29.99,0.25,59.98,in_store,mobile_pay,CUST000782
52dcd750-cc75-4717-875d-74ccd4fd6801,2024-01-01,21:00:43,ST005,New York SoHo,Americas,US,SKU008,Hiking Boots,Footwear,3,135.99,0.15,407.97,mobile_app,credit_card,CUST001397
f00acece-3424-4735-8e6b-8a1aa335d875,2024-01-01,12:27:10,ST005,New York SoHo,Americas,US,SKU005,Training Shorts,Apparel,3,49.99,0,149.97,online,credit_card,CUST001954
3b7d7ced-129d-4040-9044-efcdb106bb22,2024-01-01,09:55:40,ST003,London Oxford,Europe,UK,SKU009,Swim Goggles,Accessories,2,16.99,0.15,33.98,online,debit_card,CUST000314
5f368578-1639-4748-aaa1-76d32b584874,2024-01-01,13:31:01,ST003,London Oxford,Europe,UK,SKU003,Yoga Mat,Accessories,1,33.99,0.15,33.99,in_store,cash,CUST001800
5f3c855e-0d68-48fa-ad3b-a1d12bbcf83c,2024-01-01,17:05:05,ST003,London Oxford,Europe,UK,SKU004,Water Bottle,Accessories,1,24.99,0,24.99,mobile_app,mobile_pay,CUST001672
53cc47b2-f1ab-4e53-8ad8-adccdedb83a2,2024-01-01,18:30:35,ST001,Paris Centre,Europe,FR,SKU009,Swim Goggles,Accessories,2,19.99,0,39.98,in_store,cash,CUST001081
37197d80-2eac-420e-be8a-a339b8701701,2024-01-01,20:46:44,ST005,New York SoHo,Americas,US,SKU007,Tennis Racket,Equipment,2,169.99,0.15,339.98,in_store,cash,CUST000818
ae5c18cf-5896-49f6-b10e-fa124c0d9f5e,2024-01-01,11:14:04,ST003,London Oxford,Europe,UK,SKU008,Hiking Boots,Footwear,4,159.99,0,639.96,online,credit_card,CUST001205
85b5cd90-6f2d-4d2d-819d-d971d1898e6b,2024-01-01,09:45:40,ST005,New York SoHo,Americas,US,SKU004,Water Bottle,Accessories,2,24.99,0,49.98,in_store,debit_card,CUST000139
33463975-96d0-48e9-b7d1-3f0d7d008d6a,2024-01-01,11:17:42,ST001,Paris Centre,Europe,FR,SKU006,Gym Bag,Accessories,1,50.99,0.15,50.99,online,debit_card,CUST001105
314b6efd-059d-46b1-868e-ee5b66625e4a,2024-01-01,20:30:51,ST002,Casablanca Mall,Africa,MA,SKU010,Cycling Jersey,Apparel,4,74.99,0,299.96,online,debit_card,CUST000194
19d04406-4d41-4f96-b847-c3e2267b77b1,2024-01-01,14:29:55,ST001,Paris Centre,Europe,FR,SKU007,Tennis Racket,Equipment,3,179.99,0.1,539.97,mobile_app,credit_card,CUST001380
4571c933-3f95-471c-a603-24b647f8da45,2024-01-01,13:51:55,ST001,Paris Centre,Europe,FR,SKU001,Running Shoes,Footwear,4,103.99,0.2,415.96,in_store,debit_card,CUST000393
07e568dc-851e-4c4a-ac82-633979b7a623,2024-01-01,14:11:17,ST002,Casablanca Mall,Africa,MA,SKU009,Swim Goggles,Accessories,4,19.99,0,79.96,online,debit_card,CUST001791
a6de1f13-ccdd-4c60-bdc6-c635634a2df7,2024-01-01,18:34:53,ST001,Paris Centre,Europe,FR,SKU008,Hiking Boots,Footwear,1,159.99,0,159.99,in_store,credit_card,CUST001898
06a3b4a4-079d-4b77-82dc-cc7fd1e759fd,2024-01-01,15:13:55,ST002,Casablanca Mall,Africa,MA,SKU003,Yoga Mat,Accessories,4,35.99,0.1,143.96,online,credit_card,CUST000338
02b9ca1b-e013-4754-a2eb-5251010737ec,2024-01-01,20:50:29,ST004,Berlin Mitte,Europe,DE,SKU001,Running Shoes,Footwear,4,129.99,0,519.96,online,mobile_pay,CUST001427
02c1f302-e304-42aa-809f-295add951e6c,2024-01-01,12:13:03,ST005,New York SoHo,Americas,US,SKU008,Hiking Boots,Footwear,2,159.99,0,319.98,mobile_app,credit_card,CUST001532
95b01e01-9d59-463d-ad4d-22ebf5275155,2024-01-01,15:32:58,ST003,London Oxford,Europe,UK,SKU001,Running Shoes,Footwear,1,110.49,0.15,110.49,mobile_app,debit_card,CUST000117
77f76a08-4f9d-4646-9bd2-139d249c636c,2024-01-01,17:04:43,ST005,New York SoHo,Americas,US,SKU002,Sport Jacket,Apparel,2,89.99,0,179.98,in_store,mobile_pay,CUST000246
05dd9244-bd94-4efa-a11b-406dadd16451,2024-01-01,09:26:42,ST005,New York SoHo,Americas,US,SKU004,Water Bottle,Accessories,1,21.24,0.15,21.24,mobile_app,cash,CUST001915
e6dd3770-b469-4d46-8f8b-329261d92051,2024-01-01,12:25:08,ST003,London Oxford,Europe,UK,SKU004,Water Bottle,Accessories,3,24.99,0,74.97,mobile_app,cash,CUST000937
026221a1-0bab-4e5b-bc77-50354c9a449d,2024-01-01,17:36:06,ST003,London Oxford,Europe,UK,SKU002,Sport Jacket,Apparel,1,80.99,0.1,80.99,in_store,debit_card,CUST001037
cd1a8253-b20e-4e69-96bd-be0cc75abd51,2024-01-01,11:23:18,ST003,London Oxford,Europe,UK,SKU003,Yoga Mat,Accessories,3,39.99,0,119.97,in_store,mobile_pay,CUST001708
6f1df54c-e356-4c70-af5e-2bcc3b9dc920,2024-01-01,21:35:19,ST005,New York SoHo,Americas,US,SKU005,Training Shorts,Apparel,1,39.99,0.2,39.99,mobile_app,credit_card,CUST001923
467a6e8a-2f58-4d14-90ab-a65d289e9318,2024-01-01,19:35:09,ST002,Casablanca Mall,Africa,MA,SKU005,Training Shorts,Apparel,1,49.99,0,49.99,online,cash,CUST001239
5e5b5f8e-a161-46dc-84cc-c56fc34efba2,2024-01-01,18:54:16,ST002,Casablanca Mall,Africa,MA,SKU006,Gym Bag,Accessories,2,47.99,0.2,95.98,mobile_app,mobile_pay,CUST000515
54394ab4-6c80-47a0-a22f-37f6eab7c3f8,2024-01-01,12:02:00,ST001,Paris Centre,Europe,FR,SKU002,Sport Jacket,Apparel,4,67.49,0.25,269.96,online,debit_card,CUST001305
2541b9f9-38cb-44f7-8f03-ece2a899111c,2024-01-01,19:27:35,ST003,London Oxford,Europe,UK,SKU003,Yoga Mat,Accessories,4,33.99,0.15,135.96,in_store,credit_card,CUST000155
646f9be0-e78e-46cc-8f80-bc26a44f8ac3,2024-01-01,13:37:35,ST002,Casablanca Mall,Africa,MA,SKU009,Swim Goggles,Accessories,1,14.99,0.25,14.99,in_store,mobile_pay,CUST000262
b80a6879-570e-4bcf-b9dd-23e8c1600b6e,2024-01-01,21:02:57,ST001,Paris Centre,Europe,FR,SKU005,Training Shorts,Apparel,3,37.49,0.25,112.47,online,debit_card,CUST001397
06a98786-3fa7-423a-bb1e-1cf29a72a30c,2024-01-01,16:56:55,ST002,Casablanca Mall,Africa,MA,SKU002,Sport Jacket,Apparel,3,67.49,0.25,202.47,online,debit_card,CUST001896
42ac0c83-cb37-4514-a6ae-01de85f8344a,2024-01-01,08:11:47,ST002,Casablanca Mall,Africa,MA,SKU003,Yoga Mat,Accessories,2,35.99,0.1,71.98,online,mobile_pay,CUST001643
a481b954-1aa5-404b-9432-9629c0ffd9df,2024-01-01,19:06:24,ST002,Casablanca Mall,Africa,MA,SKU005,Training Shorts,Apparel,2,37.49,0.25,74.98,in_store,mobile_pay,CUST000456
e3227f06-87a5-48ab-be88-3e6ce6ca5632,2024-01-01,21:50:55,ST002,Casablanca Mall,Africa,MA,SKU008,Hiking Boots,Footwear,3,159.99,0,479.97,in_store,debit_card,CUST000049
6cef0d35-610f-4107-a59c-f1463c0ed2ef,2024-01-01,21:04:49,ST002,Casablanca Mall,Africa,MA,SKU007,Tennis Racket,Equipment,3,199.99,0,599.97,online,cash,CUST001314
03f9c8d6-4684-453d-814d-452fa14ed912,2024-01-01,09:56:16,ST005,New York SoHo,Americas,US,SKU007,Tennis Racket,Equipment,3,199.99,0,599.97,in_store,cash,CUST000079
8b0b03e3-bcb7-4f3d-954b-784a0b40f80e,2024-01-01,19:50:20,ST001,Paris Centre,Europe,FR,SKU010,Cycling Jersey,Apparel,4,74.99,0,299.96,online,credit_card,CUST000789
30e51c3f-9afc-46f3-ad1a-f14d5d6a9039,2024-01-01,19:27:00,ST005,New York SoHo,Americas,US,SKU004,Water Bottle,Accessories,3,24.99,0,74.97,mobile_app,debit_card,CUST000746
0bebb3b1-1fb5-46f9-ad6c-c153c01f3fe7,2024-01-01,13:42:54,ST004,Berlin Mitte,Europe,DE,SKU002,Sport Jacket,Apparel,3,76.49,0.15,229.47,in_store,cash,CUST001039
fc4bc4f7-d7f0-469c-9fc3-e25f59b56da1,2024-01-01,19:18:35,ST003,London Oxford,Europe,UK,SKU007,Tennis Racket,Equipment,3,179.99,0.1,539.97,in_store,debit_card,CUST000862
7e3cba79-ed48-4fa6-ad02-0955b27fb004,2024-01-01,16:53:00,ST004,Berlin Mitte,Europe,DE,SKU003,Yoga Mat,Accessories,3,35.99,0.1,107.97,online,cash,CUST000431
d6ffb7b7-a104-4cf8-80ac-ff7f0d11ed56,2024-01-01,15:28:43,ST004,Berlin Mitte,Europe,DE,SKU010,Cycling Jersey,Apparel,3,67.49,0.1,202.47,in_store,mobile_pay,CUST001626
bf4c52f6-a6e9-4827-96b4-05cbc16da267,2024-01-01,18:40:39,ST002,Casablanca Mall,Africa,MA,SKU002,Sport Jacket,Apparel,3,76.49,0.15,229.47,online,credit_card,CUST001677
eef78af0-b27a-486a-91ed-70e94ee54e27,2024-01-01,11:09:01,ST002,Casablanca Mall,Africa,MA,SKU005,Training Shorts,Apparel,2,37.49,0.25,74.98,in_store,debit_card,CUST000974
fa524e20-3761-431a-8500-c2f9e63c06ba,2024-01-01,18:36:12,ST005,New York SoHo,Americas,US,SKU002,Sport Jacket,Apparel,4,80.99,0.1,323.96,mobile_app,mobile_pay,CUST001013
cb0a0e56-284b-4b57-9317-d3d3c3f841ea,2024-01-01,19:00:57,ST004,Berlin Mitte,Europe,DE,SKU004,Water Bottle,Accessories,2,19.99,0.2,39.98,in_store,mobile_pay,CUST000449
caed384a-6e3b-477f-83a3-620c1fb53217,2024-01-01,16:15:58,ST002,Casablanca Mall,Africa,MA,SKU009,Swim Goggles,Accessories,4,19.99,0,79.96,in_store,mobile_pay,CUST000274
e236ef25-ecb4-4071-9879-957225b0220b,2024-01-01,15:39:52,ST004,Berlin Mitte,Europe,DE,SKU009,Swim Goggles,Accessories,3,14.99,0.25,44.97,mobile_app,mobile_pay,CUST001702
ad5ec2ea-d74e-4909-9387-122c52fca447,2024-01-01,21:30:28,ST005,New York SoHo,Americas,US,SKU008,Hiking Boots,Footwear,2,127.99,0.2,255.98,online,debit_card,CUST001721
f263d95b-6206-49e1-b701-6877842466a0,2024-01-01,11:17:28,ST003,London Oxford,Europe,UK,SKU009,Swim Goggles,Accessories,4,15.99,0.2,63.96,in_store,cash,CUST000481
88bc1974-648d-4455-8b22-f47a03f80f4d,2024-01-01,09:08:09,ST003,London Oxford,Europe,UK,SKU006,Gym Bag,Accessories,3,50.99,0.15,152.97,in_store,mobile_pay,CUST001422
bbd47f01-c52b-46d5-9c6d-164abfb38fdd,2024-01-01,14:21:34,ST002,Casablanca Mall,Africa,MA,SKU004,Water Bottle,Accessories,1,22.49,0.1,22.49,online,mobile_pay,CUST000128
98ea5164-0e4c-4b86-a5bf-2e536b80e1ee,2024-01-01,17:44:01,ST002,Casablanca Mall,Africa,MA,SKU007,Tennis Racket,Equipment,4,149.99,0.25,599.96,mobile_app,mobile_pay,CUST000977
6f5fef92-c95c-4160-9720-26f43ad536c1,2024-01-01,14:54:57,ST001,Paris Centre,Europe,FR,SKU006,Gym Bag,Accessories,3,44.99,0.25,134.97,online,debit_card,CUST001000
340149de-c1bc-4e54-99c9-2cd08cdf3e23,2024-01-01,08:24:21,ST002,Casablanca Mall,Africa,MA,SKU005,Training Shorts,Apparel,4,44.99,0.1,179.96,mobile_app,mobile_pay,CUST001484
f86b2885-2f0c-4824-82be-59487a535412,2024-01-01,16:01:58,ST002,Casablanca Mall,Africa,MA,SKU008,Hiking Boots,Footwear,2,135.99,0.15,271.98,online,credit_card,CUST000172
c22f4367-2e31-4932-afb4-c248c7674200,2024-01-01,08:16:24,ST004,Berlin Mitte,Europe,DE,SKU003,Yoga Mat,Accessories,4,39.99,0,159.96,online,debit_card,CUST000932
f2523b2a-2037-4fce-911e-be86a5e9425f,2024-01-01,20:53:26,ST003,London Oxford,Europe,UK,SKU006,Gym Bag,Accessories,4,59.99,0,239.96,online,credit_card,CUST000964
b5111517-6de6-4acd-b107-d9c03ff4d791,2024-01-01,11:41:04,ST001,Paris Centre,Europe,FR,SKU009,Swim Goggles,Accessories,1,19.99,0,19.99,mobile_app,credit_card,CUST001545
